title,url,s,sp,date,timestamp
Clear Channel takes aim at Pandora with iheartradio revamp,http://www.cleveland.com/music/index.ssf/2011/07/clear_channel_takes_aim_at_pan.html,Plain Dealer,"Bob Pittman, chairman of media and entertainment platforms for Clear Channel Communications Inc., said the success of Pandora Media Inc. proves that people like being able to stream songs according to their personal tastes on mobile devices.","Jul 11, 2011",1310388300
Clever Sense: A Mobile Search Engine That&#39;s Like “Pandora For The Real World”,http://searchengineland.com/clever-sense-a-mobile-search-engine-thats-like-pandora-for-the-real-world-86853,Search Engine Land,I suspect someone is going to successfully build Google&#39;s “contextual discovery engine” before Google does. The newest company to make a run at what Marissa Mayer was talking about is Clever Sense with its new app “Alfred” (formerly called Seymour).,"Jul 21, 2011",1311290001
Dealtalk: Barnes &amp; Noble won&#39;t get better bid than Malone&#39;s,http://www.reuters.com/article/us-dealtalk-barnesandnoble-idUSTRE76B6EN20110712,Reuters,"NEW YORK/PHILADELPHIA Nearly a year after Barnes &amp; Noble Inc (BKS.N) put itself up for sale, the largest U.S. bookstore chain likely will settle for the only firm offer it has received: $1 billion from John Malone&#39;s Liberty Media Corp LINTA.O. Liberty ...","Jul 12, 2011",1310500847
Competitive Threats to Sirius XM Radio Are Overblown,http://seekingalpha.com/article/278211-competitive-threats-to-sirius-xm-radio-are-overblown,Seeking Alpha,"While the company does not have direct satellite radio competitors following the Sirius/XM Radio (NASDAQ:SIRI) merger, there is still an active playing field competitors, Inc.luding Apple Inc. (NASDAQ:AAPL) and Amazon.com (NASDAQ:AMZN). One of the most ...","Jul 6, 2011",1309968727
"Inside Gaming: Zynga IPO, New Hard Rock in AC, and New Gaming Sponsor for ...",https://www.pokernews.com/news/2011/06/inside-gaming-zynga-ipo-new-hard-rock-in-ac-aston-villa-10631.htm,PokerNews.com,"LinkedIn Corp., Pandora Media Inc., and Yandex NV all went public in recent months. Zynga&#39;s sales from products like its popular poker game and Farmville are expected to reach $1.5 billion in 2011, making it one of the few new-wave tech companies with&nbsp;...","Jun 29, 2011",1309363844
Pandora Trades Flash for HTML5 in Social Redesign,http://mashable.com/2011/07/12/new-pandora/,Mashable (blog),"Ditching Flash in favor of HTML5, Pandora will be unveiling its new look first to Pandora One subscribers, rolling out to other users in the next few weeks.","Jul 12, 2011",1310484092
"Pandora ditches Flash, opens up the HTML5 box for redesign",https://www.engadget.com/2011/07/13/pandora-ditches-flash-opens-up-the-html5-box/,Engadget,"Looks like Adobe has lost yet another ally to the silky smooth allure of HTML5. Internet radio service Pandora has traded in the once ubiquitous Flash for the increasingly adopted web standard, citing, among other things, the ability to lop precious ...","Jul 13, 2011",1310577366
Pandora Drops Flash for HTML 5,https://www.macobserver.com/tmo/article/pandora_drops_flash_for_html_5,The Mac Observer,"Internet streaming music service Pandora announced on Tuesday that it is phasing out Flash in favor of HTML 5. The change means users won&#39;t have to rely on the Flash plug-in in their Web browser to listen to the service&#39;s music offerings, and the ...","Jul 12, 2011",1310481193
Zillow is first single letter ticker on the NASDAQ,http://blogs.marketwatch.com/thetell/2011/07/20/zillow-is-first-single-letter-ticker-on-the-nasdaq/,MarketWatch (blog),"Since the ruling, in 2008, CA Inc. CA moved seamlessly from the NYSE to the NASDAQ keeping the same symbol. Granted, there are not many single digit symbols left; Pandora Media Inc. took the P on the NYSE earlier this year. But it&#39;s still interesting,&nbsp;...","Jul 20, 2011",1311192065
Zillow IPO Zooms 79%,http://www.wsj.com/articles/SB10001424053111903554904576457942047916976,Wall Street Journal,"Last month, unprofitable Pandora Media Inc. didn&#39;t keep its float as tiny, selling 14.7 million shares—and didn&#39;t produce as much of a first day pop.","Jul 20, 2011",1311186279
"Dot Com Bubble: Part Two is Underway, But is There a Difference?",http://www.ibtimes.com/dot-com-bubble-part-two-underway-there-difference-300325,International Business Times,"New York Stock Exchange Traders gather at the kiosk where Pandora internet radio is traded prior to its debut on the floor of the New York Stock Exchange June 15, 2011.","Jul 20, 2011",1311204410
FM Broadcasters Are Freaking Out About Pandora,http://www.businessinsider.com/terrestrial-broadcasters-are-freaking-out-about-pandora-2011-7,Business Insider,"If you run an FM radio station, you already have plenty to worry about: MP3 players, satellite radio, CDs, tapes, audiobooks, silent meditation, and anything else that might tempt listeners to look beyond the FM dial.","Jul 13, 2011",1310571698
Cocktail Party Stocks: Investors Are Better Off Elsewhere,http://seekingalpha.com/article/276934-cocktail-party-stocks-investors-are-better-off-elsewhere,Seeking Alpha,Facebook and Pandora Media (NYSE:P) are two of the hottest companies in the finance world. The stock market could be valuing Facebook at more than $140 billion valuing Facebook at more than $220 billion based on the spike in GSV Capital Corp&nbsp;...,"Jun 28, 2011",1309263310
"Meet Gojee, A Yummy Pandora For Recipes",http://www.businessinsider.com/gojee-2011-7,Business Insider,Finding a recipe on the web is easy when you know the dish you&#39;re looking for. But it can be hard to find great recipes for those times when you&#39;re not sure what you want.,"Jul 22, 2011",1311349173
"Clear Channel Prepares a Big Announcement: Sirius XM, Pandora Should Listen",http://seekingalpha.com/article/278575-clear-channel-prepares-a-big-announcement-sirius-xm-pandora-should-listen,Seeking Alpha,"The folks behind Clear Channel&#39;s (CCMO.PK) iHeart Radio keep sending out Tweets directing followers to a Facebook announcement that has Pandora (NYSE:P)-like playlist customization written all over it. It comes as no surprise, given comments Clear&nbsp;...","Jul 8, 2011",1310139472
Michael Grimes makes Morgan Stanley IPO team No. 1,http://www.sfgate.com/business/article/Michael-Grimes-makes-Morgan-Stanley-IPO-team-No-1-2354154.php,San Francisco Chronicle,"They&#39;re now listed as the first underwriter on all the hottest Web deals, including the initial public offerings of LinkedIn Corp.","Jul 19, 2011",1311047979
How Spending Hours Playing Facebook Games Landed Morgan Stanley The Zynga IPO,http://www.businessinsider.com/how-spending-hours-playing-facebook-games-landed-morgan-stanley-the-zynga-ipo-2011-7,Business Insider,"Davids Sze, a Silicon Valley venture capitalist and a board member at both Pandora and LinkedIn, told Bloomberg that the authenticity of genuine interest that Grimes brings to tech IPOs is a powerful asset saying that “Companies sense that.","Jul 18, 2011",1311028450
"MySpace, Pandora, Spotify And The Music Industry&#39;s Last Best Chance",http://www.businessinsider.com/myspace-pandora-spotify-and-the-music-industrys-last-best-chance-2011-7,Business Insider,"Change has been painful for the music industry over the last 10 years, but there are increasingly glimmers of hope that the myriad threads of change rippling through the industry might coalesce into a new and more robust ecosystem than the current ...","Jul 23, 2011",1311382577
"Pandora Targets Men With SoBe Lizard, Supermodel Kate Upton",http://www.adweek.com/news/advertising-branding/pandora-targets-men-sobe-lizard-supermodel-kate-upton-133073,Adweek,"Want to know how Internet radio service Pandora plans to engage its users&#39; ears and eyes? With slithering lizards and sexy supermodels—for today, at least.","Jun 29, 2011",1309370310
Airbus sales chief dances to seal record plane order,http://www.reuters.com/article/uk-airshow-airasia-deal-idUSLNE75M05C20110623,Reuters,"Airbus Chief Executive Officer Tom Enders (R) and Founder of AirAsia X Tony Fernandes pose for photographers holding a model of the Airbus A320neo during an announcement at the 49th Paris Air Show at the Le Bourget airport near Paris June 23, 2011.","Jun 23, 2011",1308841301
Pandora integration comes to the 2012 Scion xB,http://www.autoblog.com/2011/06/28/pandora-integration-comes-to-the-2012-scion-xb/,Autoblog (blog),Streaming audio allows compatible phone or personal media devices to pair with the audio system and listen to music through the vehicles sound system.,"Jun 28, 2011",1309298581
Missy Elliott fighting Graves disease,http://www.dailygossip.org/missy-elliott-fighting-graves-disease-1115,Daily Gossip,Missy Elliott&#39;s disease has been diagnosed in 2008 and some media reports that were recently released speculate that the disease may have been the cause in the delay of a next album.,"Jun 25, 2011",1309023616
IGNITION: Future Of Media,http://www.businessinsider.com/ignition/2011,Business Insider,"In the past year, major new media companies such as Facebook, Pandora, LinkedIn, Zynga, Twitter, and Groupon have hit meteoric numbers in users, revenue, or both, by linking their core offering to media platforms or products. Angel and private-equity&nbsp;...","Jul 14, 2011",1310660266
"LinkedIn, Pandora shares suffering post-IPO",http://vator.tv/news/2011-07-18-linkedin-pandora-shares-suffering-post-ipo,VatorNews,"LinkedIn, Pandora shares suffering post-IPO. Two months and one ... When it finally launched stateside last week, the sleeping beast of hype awoke, worrying Pandora stakeholders that their little gem of a music service might not be able to weather the ...","Jul 18, 2011",1311028902
Dissecting the Sirius XM and Pandora Audiences and the Implications,http://seekingalpha.com/article/277547-dissecting-the-sirius-xm-and-pandora-audiences-and-the-implications,Seeking Alpha,"If you accept what you read on message boards and in the comment sections of Seeking Alpha articles as some sort of consensus, young people without money comprise most of Pandora&#39;s (NYSE:P) audience and an older crowd with disposable income&nbsp;...","Jun 30, 2011",1309475337
Pandora Radio&#39;s HTML5 redesign hands-on,https://www.engadget.com/2011/07/16/pandora-radios-html5-redesign-hands-on/,Engadget,"Earlier this week, Pandora announced that it would finally be dropping its longtime support for Flash in favor of HTML5. The move is one piece of a big redesign for the site, one which will begin rolling out to Pandora One (the $36 / year premium ...","Jul 16, 2011",1310834915
Blackstone to buy Jack Wolfskin for $994 million: report,http://www.reuters.com/article/us-blackstone-jackwolfskin-idUSTRE76J7T420110720,Reuters,"LONDON U.S. private equity group Blackstone (BX.N) is to announce that it has bought German outdoor clothing company Jack Wolfskin for 700 million euros ($993.9 million), the Financial Times reported on Thursday.","Jul 20, 2011",1311205203
Avoid a sky-high bill by tracking your Verizon data use,https://www.cnet.com/news/avoid-a-sky-high-bill-by-tracking-your-verizon-data-use/,CNET (blog),"Just consider this: Many Android devices come with one or more preloaded applications like Blockbuster, Netflix, and Samsung Media Hub that are designed specifically to deliver movies or television shows. The apps are nifty, to be sure, and carriers ...","Jul 7, 2011",1310070764
New &#39;adult cabaret&#39; owner wants to get past strip-club taboo,http://www.seattlepi.com/local/article/New-adult-cabaret-wants-to-get-past-strip-club-1463611.php,Seattle Post Intelligencer,"Pandora&#39;s Adult Cabaret, the North Seattle club at the site of the former Seven Seas Chinese restaurant, opened Tuesday afternoon - though with only a neon &quot;open&quot; sign it was a little tough to tell.","Jul 13, 2011",1310531387
Review: Sony SMP-N100 Streaming Media Player,https://techcrunch.com/2011/07/11/review-sony-smp-n100-streaming-media-player/,TechCrunch,"The Sony SMP-N100 is Sony&#39;s addition to the media streaming device market. It&#39;s a small, unobtrusive ... We also played music from Pandora, watched a couple episodes of Epicurious, and listened to some National Public Radio. Once the program started,&nbsp;...","Jul 12, 2011",1310453337
What makes Spotify different? A brief guide to online music,http://www.cnn.com/2011/TECH/web/08/05/why.spotify.different/,CNN,"It wants Pandora-level popularity. And it&#39;s built on the assumption that people want to rent music instead of buying it, much like Rdio, Napster (the legal version), Rhapsody and a host of others.","Aug 5, 2011",1312544969
Groupon&#39;s Accounting Lingo Gets Scrutiny,http://www.wsj.com/articles/SB10001424053111903635604576472531846174782,Wall Street Journal,"A person familiar with the matter said the SEC hasn&#39;t questioned Zynga&#39;s filing. Pandora Media Inc.&#39;s first IPO filing included total listener hours and total registered users as &quot;key indicators of the growth of our business,&quot; though the Internet music ...","Jul 27, 2011",1311809949
Andreessen Horowitz Leads $15M Round In Cloud Business Intelligence Platform ...,https://techcrunch.com/2011/08/18/andreessen-horowitz-leads-15m-round-in-cloud-business-intelligence-platform-gooddata/,TechCrunch,"Over 2,500 companies, including Software AG, Time Warner Cable, Capgemini and Pandora Media, rely on GoodData&#39;s data intelligence products.","Aug 18, 2011",1313679887
